 ,,,,,,,
順序,預計發表時間,發表者,所在地區,主題,相關連結,發表者的三個關鍵字,鄉民列表 id
1,9:40:00,snowmantw,Taipei,People Watch,,民意，民代，行動,?
2,9:43:00,chitsaou,Taipei,社會議題追蹤網,,Coder，鍵盤抗議，髒資料處理器,chitsaou
3,9:46:00,ymow,Taipei,全民警察廣播電台,,民有 民治 民享,ymow
4,9:49:00,kong,Taipei,法令易讀器,https://g0v.hackpad.com/LawEasyRead-lYxzvhLiUYk,,
5,9:52:00,hychen,Taipei,鄉民關心你,http://hack.g0v.tw/g0v-hackath3n/mynkDCEAXgc,,
6,9:55:00,peggy,Taipei,福利請聽,http://listening.g0v.tw/,,
7,9:58:00,johnny,Taipei,立法院立委,http://twly.herokuapp.com/,,
8,10:01:00,monjour,Taipei,路見不平,,,
9,10:04:00,ETblue ipa,,g0v基礎建設- 首頁2.0,http://hack.g0v.tw/meta/YC0Ig73WEMJ,,
10,10:07:00,clkao,TaipeI,liquid feedback,http://lqfb-test.g0v.tw/pf/,,
11,10:10:00,ipa,,Taiwan Debt Clock,http://www.usdebtclock.org/,,
12,10:13:00,ronnywang,Taipei,News Diff 來看看新聞改過了沒?,,,
,,,,,,,
,N/A,Gene,Taipei,計算氣象局資料準確度,http://weather.datamining.tw/,"在路上, 可能要 11:00 才會到",
"17:15【客廳工廠 present project】 規則
每個 present 5min，可視 project 數量和剩餘時間調整",,,,,,,
最佳專案投票： http://lqfb-test.g0v.tw/pf/vote/list.html?issue_id=7 到 18:10,,,,,,,
順序,預計發表時間,發表者,所在地區,主題,相關連結,想申請 COSCUP 門票的專案成員名單,完成填寫 coscup 名單
1,17:15:00,"Ronny, Willy, Manic, Monjour",Taipei,路見不平,https://github.com/ronnywang/roadpin,老蕭 monjour willy,✔
2,17:20:00,Gene,Taipei,中央氣象局真的準嗎?,http://weather.datamining.tw/,Gene,✔
3,17:25:00,Howardsun,Taipei,農產品價格情報,https://g0v.hackpad.com/fcRWv8t7AU1,"cades, Ted, Howardsun",✔
4,17:30:00,ctf,Taipei,gdcmdtools(Google文件工具集),"https://github.com/timchen86/gdcmdtools , http://hack.g0v.tw/g0v-hackath3n/aCZGg48I5pX",ctf,✔
5,17:35:00,chitsaou,Taipei,TWBug 社會議題追蹤網,https://github.com/chitsaou/twbug/,chitsaou,✔
6,17:40:00,rad,Taipei,news-diff,https://github.com/clifflu/news-diff,rad,✔
7,17:45:00,littleq0903,Taipei,世界奇觀,https://github.com/g0v/ww-simulation/,,✔
8,17:50:00,jeffhung,Taipei,Taiwan Debt Clock,https://github.com/jeffhung/twbudget/tree/debtclock,,✔
9,17:55:00,au,Taipei,萌典客語版,https://www.moedict.tw/#:發芽,,✔
10,18:00:00,ipa,Taipei,g0v.tw website structure,http://hack.g0v.tw/meta/1xV5ShTpYsSl7BzNdhhm3ppskYARQhwDcCDuQ2n8yE5I,,✔
11,18:05:00,isabel,Taipei,共用免責聲明,http://hack.g0v.tw/g0v-hackath3n/dwimzocKjEL,,✔
,,,,福利請聽,http://listening.g0v.tw/,佳緯,✔
,,,,法令易讀器,http://github.com/g0v/laweasyread   http://github.com/kong0107/zhlaweasyread,阿空,✔